"HCDBcaseId","caseNumber","caseName","representative_side","rep_number","RepGeneral","RepSpecific","Name","Title","Status1","Status2","Status2State","Gender","Role","Notes"
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","WJN Wells","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","PA McNamara","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Respondent",1,"Respondent/defendant","Respondent","JJ Doyle","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995032,"A49/1994","Shop, Distributive & Allied Employees Association v Minister for Industrial Affairs (SA)","Respondent",2,"Respondent/defendant","Respondent","NA Manetta","Dr","QC","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995033,"S103/1992","Savvas v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","PJ Hidden","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995033,"S103/1992","Savvas v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","ML Brabazon","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995033,"S103/1992","Savvas v The Queen","Respondent",1,"Respondent/defendant","Respondent","K Mason","Mr","QC","Yes solicitor general",3,"Male","Speaker - Major",NA
1995033,"S103/1992","Savvas v The Queen","Respondent",2,"Respondent/defendant","Respondent","GS Hosking","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","IM Barker","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","PG Clifford","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",1,"Respondent/defendant","Respondent 1, 2 & 3","SP Charles","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",2,"Respondent/defendant","Respondent 1, 2 & 3","AM Kennedy","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",3,"Respondent/defendant","Respondent 4 &5","JJ Garnsey","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995034,"P14/1994","Carter v Managing Partner, Northmore Hale Davy & Leake","Respondent",4,"Respondent/defendant","Respondent 4 &5","GH Murphy","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995035,"M63/1994","Masciantonio v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","MS Weinberg","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995035,"M63/1994","Masciantonio v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","OP Holdenson","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995035,"M63/1994","Masciantonio v The Queen","Respondent",1,"Respondent/defendant","Respondent","BD Bongiorno","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995035,"M63/1994","Masciantonio v The Queen","Respondent",2,"Respondent/defendant","Respondent","T Gyorffy","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","RV Gyles","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","KM Guilfoyle","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Respondent",1,"Respondent/defendant","Respondent","MH Tobias","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995036,"S129/1994","Sydney City Council v Garbett Pty Ltd","Respondent",2,"Respondent/defendant","Respondent","TS Hale","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995037,"S193/1994","Pitkin v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Applicant","SJ Odgers","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995037,"S193/1994","Pitkin v The Queen","Respondent",1,"Respondent/defendant","Respondent","NR Cowdery","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995038,"S182/1994","McAuliffe v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","SR Norrish","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995038,"S182/1994","McAuliffe v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","CT Loukas","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995038,"S182/1994","McAuliffe v The Queen","Respondent",1,"Respondent/defendant","Respondent","K Mason","Mr","QC","Yes solicitor general",3,"Male","Speaker - Major",NA
1995038,"S182/1994","McAuliffe v The Queen","Respondent",2,"Respondent/defendant","Respondent","PG Berman","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995039,"S184/1994","McAuliffe v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","GR James","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995039,"S184/1994","McAuliffe v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","SJ Odgers","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995039,"S184/1994","McAuliffe v The Queen","Respondent",1,"Respondent/defendant","Respondent","K Mason","Mr","QC","Yes solicitor general",3,"Male","Speaker - Major",NA
1995039,"S184/1994","McAuliffe v The Queen","Respondent",2,"Respondent/defendant","Respondent","PG Berman","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995041,"H10/1994","McGhee v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","HJ Kable","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995041,"H10/1994","McGhee v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","KA McEwan","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995041,"H10/1994","McGhee v The Queen","Respondent",1,"Respondent/defendant","Respondent","DJ Bugg","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995041,"H10/1994","McGhee v The Queen","Respondent",2,"Respondent/defendant","Respondent","JN Perks","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995042,"S164/1994","Michaels v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","GR James","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995042,"S164/1994","Michaels v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","SJ Odgers","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995042,"S164/1994","Michaels v The Queen","Respondent",1,"Respondent/defendant","Respondent","M Rozenes","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995042,"S164/1994","Michaels v The Queen","Respondent",2,"Respondent/defendant","Respondent","TL Buddin","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995043,"C19/1994","Miletic v Capital Territory Health Commission","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","BJ Salmon","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995043,"C19/1994","Miletic v Capital Territory Health Commission","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","B Hull","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995043,"C19/1994","Miletic v Capital Territory Health Commission","Respondent",1,"Respondent/defendant","Respondent","RE Williams","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995043,"C19/1994","Miletic v Capital Territory Health Commission","Respondent",2,"Respondent/defendant","Respondent","FMG Parker","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995044,"A37/1994","Vadasz v Pioneer Concrete (SA) Pty Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","S Walsh","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995044,"A37/1994","Vadasz v Pioneer Concrete (SA) Pty Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","JE Choate","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995044,"A37/1994","Vadasz v Pioneer Concrete (SA) Pty Ltd","Respondent",1,"Respondent/defendant","Respondent","JR Sulan","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995044,"A37/1994","Vadasz v Pioneer Concrete (SA) Pty Ltd","Respondent",2,"Respondent/defendant","Respondent","DW Smith","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995045,"S171/1993","Meissner v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","IM Barker","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995045,"S171/1993","Meissner v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","P Byrne","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995045,"S171/1993","Meissner v The Queen","Respondent",1,"Respondent/defendant","Respondent","R Keleman","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995046,"A38/1994","The Queen v Byrnes","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","MS Weinberg","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995046,"A38/1994","The Queen v Byrnes","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","DJ Chapman","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995046,"A38/1994","The Queen v Byrnes","Respondent",1,"Respondent/defendant","Respondent","SW Tilmouth","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995046,"A38/1994","The Queen v Byrnes","Respondent",2,"Respondent/defendant","Respondent","MA Perry","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995047,"A39/1994","The Queen v Hopwood","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","MS Weinberg","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995047,"A39/1994","The Queen v Hopwood","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","DJ Chapman","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995047,"A39/1994","The Queen v Hopwood","Respondent",1,"Respondent/defendant","Respondent","KV Borick","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995047,"A39/1994","The Queen v Hopwood","Respondent",2,"Respondent/defendant","Respondent","GB Hevey","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995048,"A17/1994","Byrnes v The Queen","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","SW Tilmouth","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995048,"A17/1994","Byrnes v The Queen","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","MA Perry","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995048,"A17/1994","Byrnes v The Queen","Respondent",1,"Respondent/defendant","Respondent","MS Weinberg","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995048,"A17/1994","Byrnes v The Queen","Respondent",2,"Respondent/defendant","Respondent","DJ Chapman","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995049,"M78/1994","Grollo v Palmer","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Applicant","AR Casten","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major","No appearance for the second respondent"
1995049,"M78/1994","Grollo v Palmer","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Applicant","R Merkel","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major","No appearance for the second respondent"
1995049,"M78/1994","Grollo v Palmer","Appellant",3,"Appellant/applicant/plaintiff/petitioner","Applicant","JBR Beach","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)","No appearance for the second respondent"
1995049,"M78/1994","Grollo v Palmer","Intervener",1,"Intervener","Intervener, AG (Cth)","G Griffith","Mr","QC","Yes solicitor general",1,"Male","Speaker - Major","No appearance for the second respondent"
1995049,"M78/1994","Grollo v Palmer","Intervener",2,"Intervener","Intervener, AG (Cth)","CR Staker","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)","No appearance for the second respondent"
1995049,"M78/1994","Grollo v Palmer","Respondent",1,"Respondent/defendant","Respondent 1 & 3","MS Weinberg","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major","No appearance for the second respondent"
1995049,"M78/1994","Grollo v Palmer","Respondent",2,"Respondent/defendant","Respondent 1 & 3","GT Pagone","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)","No appearance for the second respondent"
1995050,"S29/1994","Sanko Steamship Co Ltd v Sumitomo Australia Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","BW Rayment","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995050,"S29/1994","Sanko Steamship Co Ltd v Sumitomo Australia Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","IA Shearer","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995050,"S29/1994","Sanko Steamship Co Ltd v Sumitomo Australia Ltd","Appellant",3,"Appellant/applicant/plaintiff/petitioner","Appellant","AJ Meagher","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995050,"S29/1994","Sanko Steamship Co Ltd v Sumitomo Australia Ltd","Respondent",1,"Respondent/defendant","Respondent","TEF Hughes","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995050,"S29/1994","Sanko Steamship Co Ltd v Sumitomo Australia Ltd","Respondent",2,"Respondent/defendant","Respondent","PE King","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995051,"S34/1994","Victrawl Pty Ltd v Telstra Corp Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","BW Rayment","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995051,"S34/1994","Victrawl Pty Ltd v Telstra Corp Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","AW Street","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995051,"S34/1994","Victrawl Pty Ltd v Telstra Corp Ltd","Respondent",1,"Respondent/defendant","All respondents","RBS MacFarlan","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995051,"S34/1994","Victrawl Pty Ltd v Telstra Corp Ltd","Respondent",2,"Respondent/defendant","All respondents","JLB Allsop","Mr","SC","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995051,"S34/1994","Victrawl Pty Ltd v Telstra Corp Ltd","Respondent",3,"Respondent/defendant","All respondents","KM Guilfoyle","Ms","Barrister or solicitor","No, not solicitor general",NA,"Female","Appearance (non-speaker)",NA
1995052,"S59/1993","Witham v Holloway","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","P Kintominas","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995052,"S59/1993","Witham v Holloway","Respondent",1,"Respondent/defendant","Respondent","K Mason","Mr","QC","Yes solicitor general",3,"Male","Speaker - Major",NA
1995052,"S59/1993","Witham v Holloway","Respondent",2,"Respondent/defendant","Respondent","NF Francey","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995053,"M138/1993","Kizbeau Pty Ltd v WG & B Pty Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","DF Jackson","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995053,"M138/1993","Kizbeau Pty Ltd v WG & B Pty Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","GD Cullen","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995053,"M138/1993","Kizbeau Pty Ltd v WG & B Pty Ltd","Respondent",1,"Respondent/defendant","Respondent","BJ Shaw","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995053,"M138/1993","Kizbeau Pty Ltd v WG & B Pty Ltd","Respondent",2,"Respondent/defendant","Respondent","MJ Colbran","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995054,"S132/1994","Byrne v Australian Airlines Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","BJ Gross","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995054,"S132/1994","Byrne v Australian Airlines Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","BD Hodgkinson","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995054,"S132/1994","Byrne v Australian Airlines Ltd","Respondent",1,"Respondent/defendant","Respondent","DF Jackson","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995054,"S132/1994","Byrne v Australian Airlines Ltd","Respondent",2,"Respondent/defendant","Respondent","F Parry","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995055,"S133/1994","Byrne v Australian Airlines Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","BJ Gross","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995055,"S133/1994","Byrne v Australian Airlines Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","BD Hodgkinson","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995055,"S133/1994","Byrne v Australian Airlines Ltd","Respondent",1,"Respondent/defendant","Respondent","DF Jackson","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995055,"S133/1994","Byrne v Australian Airlines Ltd","Respondent",2,"Respondent/defendant","Respondent","F Parry","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995056,"D9/1994","PMT Partners Pty Ltd (In Liq) v Australian National Parks & Wildlife Service","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","DMJ Bennett","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995056,"D9/1994","PMT Partners Pty Ltd (In Liq) v Australian National Parks & Wildlife Service","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","ID Nosworthy","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995056,"D9/1994","PMT Partners Pty Ltd (In Liq) v Australian National Parks & Wildlife Service","Respondent",1,"Respondent/defendant","Respondent","TJ Riley","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995056,"D9/1994","PMT Partners Pty Ltd (In Liq) v Australian National Parks & Wildlife Service","Respondent",2,"Respondent/defendant","Respondent","PG Minogue","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995057,"M38/1995","David Grant & Co Pty Ltd v Westpac Banking Corporation","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","WJ Martin","Mr","QC","No, not solicitor general",NA,"Male",NA,NA
1995057,"M38/1995","David Grant & Co Pty Ltd v Westpac Banking Corporation","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","N Pane","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995057,"M38/1995","David Grant & Co Pty Ltd v Westpac Banking Corporation","Intervener",1,"Amicus","Amicus, Australian Securities Commission","SD Rares","Mr","SC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995057,"M38/1995","David Grant & Co Pty Ltd v Westpac Banking Corporation","Intervener",2,"Amicus","Amicus, Australian Securities Commission","N Perram","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995057,"M38/1995","David Grant & Co Pty Ltd v Westpac Banking Corporation","Respondent",1,"Respondent/defendant","Respondent","AC Archibald","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995057,"M38/1995","David Grant & Co Pty Ltd v Westpac Banking Corporation","Respondent",2,"Respondent/defendant","Respondent","PJ Cosgrave","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995058,"M39/1995","Ferndell Development Pty Limited v Westpac Banking Corporation","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","WJ Martin","Mr","QC","No, not solicitor general",NA,"Male",NA,NA
1995058,"M39/1995","Ferndell Development Pty Limited v Westpac Banking Corporation","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","N Pane","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995058,"M39/1995","Ferndell Development Pty Limited v Westpac Banking Corporation","Intervener",1,"Amicus","Amicus, Australian Securities Commission","SD Rares","Mr","SC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995058,"M39/1995","Ferndell Development Pty Limited v Westpac Banking Corporation","Intervener",2,"Amicus","Amicus, Australian Securities Commission","N Perram","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995058,"M39/1995","Ferndell Development Pty Limited v Westpac Banking Corporation","Respondent",1,"Respondent/defendant","Respondent","AC Archibald","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995058,"M39/1995","Ferndell Development Pty Limited v Westpac Banking Corporation","Respondent",2,"Respondent/defendant","Respondent","PJ Cosgrave","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995059,"M40/1995","Fendall Farms Pty Limited v Westpac Banking Corporation","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","WJ Martin","Mr","QC","No, not solicitor general",NA,"Male",NA,NA
1995059,"M40/1995","Fendall Farms Pty Limited v Westpac Banking Corporation","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","N Pane","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995059,"M40/1995","Fendall Farms Pty Limited v Westpac Banking Corporation","Intervener",1,"Amicus","Amicus, Australian Securities Commission","SD Rares","Mr","SC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995059,"M40/1995","Fendall Farms Pty Limited v Westpac Banking Corporation","Intervener",2,"Amicus","Amicus, Australian Securities Commission","N Perram","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995059,"M40/1995","Fendall Farms Pty Limited v Westpac Banking Corporation","Respondent",1,"Respondent/defendant","Respondent","AC Archibald","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995059,"M40/1995","Fendall Farms Pty Limited v Westpac Banking Corporation","Respondent",2,"Respondent/defendant","Respondent","PJ Cosgrave","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995060,"A40/1994","Craig v South Australia","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","DH Peek","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995060,"A40/1994","Craig v South Australia","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","RB Harrap","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995060,"A40/1994","Craig v South Australia","Respondent",1,"Respondent/defendant","Respondent","JJ Doyle","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995060,"A40/1994","Craig v South Australia","Respondent",2,"Respondent/defendant","Respondent","NA Manetta","Dr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995061,"H20/1994","Parramore v Duggan","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","WM Hodgman","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995061,"H20/1994","Parramore v Duggan","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","MB Hunniford","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995061,"H20/1994","Parramore v Duggan","Respondent",1,"Respondent/defendant","Respondent","AG Melick","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995061,"H20/1994","Parramore v Duggan","Respondent",2,"Respondent/defendant","Respondent","TJ Williams","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995062,"S200/1994","Bailey v NSW Medical Defence Union Ltd","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","PLG Brereton","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995062,"S200/1994","Bailey v NSW Medical Defence Union Ltd","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","MK Meek","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995062,"S200/1994","Bailey v NSW Medical Defence Union Ltd","Respondent",1,"Respondent/defendant","Respondent","AJ Sullivan","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major",NA
1995062,"S200/1994","Bailey v NSW Medical Defence Union Ltd","Respondent",2,"Respondent/defendant","Respondent","NC Hutley","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)",NA
1995063,"S205/1994","New South Wales Medical Defence Union Ltd v Maxwell Duncan Crawford","Appellant",1,"Appellant/applicant/plaintiff/petitioner","Appellant","AJ Sullivan","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major","At the hearing on 1 June, GR Waugh was added to the respondent's team"
1995063,"S205/1994","New South Wales Medical Defence Union Ltd v Maxwell Duncan Crawford","Appellant",2,"Appellant/applicant/plaintiff/petitioner","Appellant","NC Hutley","Mr","Barrister or solicitor","No, not solicitor general",NA,"Male","Appearance (non-speaker)","At the hearing on 1 June, GR Waugh was added to the respondent's team"
1995063,"S205/1994","New South Wales Medical Defence Union Ltd v Maxwell Duncan Crawford","Respondent",1,"Respondent/defendant","Respondent","RWR Parker","Mr","QC","No, not solicitor general",NA,"Male","Speaker - Major","At the hearing on 1 June, GR Waugh was added to the respondent's team"
